Route,Year,sampled,Date,lek_num,route_leknum,count,real,pct_crp_est,pct_grass_est
3,1985,NA,1/1/85,129,3.129,NA,TRUE,0,88.19982576
3,1985,NA,1/1/85,135,3.135,NA,TRUE,0,92.3367079
3,1985,NA,1/1/85,167,3.167,NA,TRUE,0,90.00756568
3,1986,NA,1/1/86,129,3.129,NA,TRUE,0.482598927,88.08060892
3,1986,NA,1/1/86,135,3.135,NA,TRUE,0.022930258,92.06383784
3,1986,NA,1/1/86,167,3.167,NA,TRUE,0.520427347,89.89178779
3,1987,NA,1/1/87,129,3.129,NA,TRUE,1.602549406,88.07716998
3,1987,NA,1/1/87,135,3.135,NA,TRUE,0.035541899,91.86778413
3,1987,NA,1/1/87,167,3.167,NA,TRUE,0.613278922,89.9066899
3,1988,NA,1/1/88,129,3.129,NA,TRUE,1.614012564,88.09436471
3,1988,NA,1/1/88,135,3.135,NA,TRUE,0.050446567,91.96867727
3,1988,NA,1/1/88,167,3.167,NA,TRUE,0.641936815,89.91012885
3,1989,NA,1/1/89,129,3.129,NA,TRUE,1.63923151,88.07716998
3,1989,NA,1/1/89,135,3.135,NA,TRUE,0.084841953,91.82650967
3,1989,NA,1/1/89,167,3.167,NA,TRUE,0.663716814,89.91356779
3,1990,NA,1/1/90,129,3.129,NA,TRUE,1.652987299,88.06799945
3,1990,NA,1/1/90,135,3.135,NA,TRUE,0.084841953,91.96638424
3,1990,NA,1/1/90,167,3.167,NA,TRUE,0.72676418,89.88949516
3,1991,NA,1/1/91,129,3.129,NA,TRUE,1.657572562,88.09551103
3,1991,NA,1/1/91,135,3.135,NA,TRUE,0.090574518,92.00421917
3,1991,NA,1/1/91,167,3.167,NA,TRUE,0.737081022,89.92617727
3,1992,NA,1/1/92,129,3.129,NA,TRUE,1.691962034,88.07487734
3,1992,NA,1/1/92,135,3.135,NA,TRUE,0.114651288,91.86893065
3,1992,NA,1/1/92,167,3.167,NA,TRUE,0.757714705,89.90783621
3,1993,NA,1/1/93,129,3.129,NA,TRUE,1.70113256,88.12875418
3,1993,NA,1/1/93,135,3.135,NA,TRUE,0.124969904,91.9629447
3,1993,NA,1/1/93,167,3.167,NA,TRUE,0.77261681,89.93534779
3,1994,NA,1/1/94,129,3.129,NA,TRUE,1.711449402,88.0060984
3,1994,NA,1/1/94,135,3.135,NA,TRUE,0.14331411,92.10625881
3,1994,NA,1/1/94,167,3.167,NA,TRUE,0.78866523,89.94795727
3,1995,NA,1/1/95,129,3.129,NA,TRUE,1.710303086,87.8822963
3,1995,NA,1/1/95,135,3.135,NA,TRUE,0.147900162,91.78408869
3,1995,NA,1/1/95,167,3.167,NA,TRUE,0.792104177,89.80122885
3,1996,NA,1/1/96,129,3.129,NA,TRUE,1.721766243,87.88344262
3,1996,NA,1/1/96,135,3.135,NA,TRUE,0.161658316,91.84829342
3,1996,NA,1/1/96,167,3.167,NA,TRUE,0.805859966,89.76913201
3,1997,NA,1/1/97,129,3.129,NA,TRUE,1.773350452,87.8673942
